College Name,Courses,2022,2023,2024
National Institute of Technology Tiruchirappalli ,Electronics and Communication Engineering,3288,3609,3080
National Institute of Technology Tiruchirappalli ,Chemical Engineering,,,
National Institute of Technology Puducherry Karaikal ,Computer Science Enginnering,13263,14811,14359
National Institute of Technology Puducherry Karaikal ,Electrical Engineering,28568,27277,27116
National Institute of Technology Puducherry Karaikal ,Mechanical Engineering,33690,32924,33495
National Institute of Technology Puducherry Karaikal ,Electronics and Communication Engineering,20755,20460,22136
National Institute of Technology Puducherry Karaikal ,Chemical Engineering,,,
National Institute of Technology  Manipur,Computer Science Enginnering,19577,21895,25886
National Institute of Technology  Manipur,Electrical Engineering,37294,36994,36106
National Institute of Technology  Manipur,Mechanical Engineering,39672,41827,44551
National Institute of Technology  Manipur,Electronics and Communication Engineering,27663,30243,31526
National Institute of Technology  Manipur,Chemical Engineering,,,
National Institute of Technology Meghalaya,Computer Science Enginnering,16124,16663,18562
National Institute of Technology Meghalaya,Electrical Engineering,30359,31801,32723
National Institute of Technology Meghalaya,Mechanical Engineering,33912,38138,38682
National Institute of Technology Meghalaya,Electronics and Communication Engineering,23688,23801,26440
National Institute of Technology Meghalaya,Chemical Engineering,,,
National Institute of Technology  Mizoram,Computer Science Enginnering,22956,23850,28174
National Institute of Technology  Mizoram,Electrical Engineering,38174,38576,42564
National Institute of Technology  Mizoram,Mechanical Engineering,41844,42862,45177
National Institute of Technology  Mizoram,Electronics and Communication Engineering,31118,33026,36437
National Institute of Technology  Mizoram,Chemical Engineering,,,
